Utilizacion 66.666667 VolCajasEmpacado 100.000000 Duracion[s] 0.018000 Iteraciones 5
0 0 0 0 0 0 2 3 4
1 0 0 0 3 0 2 6 4
2 0 0 0 6 0 2 9 4
3 0 0 0 0 4 2 3 8
4 0 0 0 3 4 2 6 8
5 0 0 0 6 4 2 9 8
6 2 0 0 0 8 2 2 10
7 2 0 0 2 8 2 4 10
8 2 0 0 4 8 2 6 10
9 2 0 0 6 8 2 8 10
10 2 0 0 8 8 2 10 10
11 2 0 2 0 0 4 2 2
12 2 0 2 2 0 4 4 2
13 2 0 2 4 0 4 6 2
14 2 0 2 6 0 4 8 2
15 2 0 2 8 0 4 10 2
16 2 0 2 0 2 4 2 4
17 2 0 2 0 4 4 2 6
18 2 0 2 0 6 4 2 8
19 2 0 2 0 8 4 2 10
20 1 0 2 2 2 6 4 4
21 1 0 2 4 2 6 6 4
22 1 0 2 6 2 6 8 4
23 2 0 2 2 4 4 4 6
24 2 0 2 4 4 4 6 6
25 2 0 2 6 4 4 8 6
26 2 0 2 2 6 4 4 8
27 2 0 2 4 6 4 6 8
28 2 0 2 6 6 4 8 8
29 2 0 2 2 8 4 4 10
30 2 0 2 8 2 4 10 4
31 5 1 6 0 0 8 2 2
32 5 1 6 2 0 8 4 2
33 5 1 6 4 0 8 6 2
34 5 1 6 6 0 8 8 2
35 5 1 6 8 0 8 10 2
36 5 1 6 0 2 8 2 4
37 5 1 6 2 2 8 4 4
38 5 1 6 4 2 8 6 4
39 5 1 6 6 2 8 8 4
40 5 1 6 8 2 8 10 4
41 5 1 6 0 4 8 2 6
42 5 1 6 2 4 8 4 6
43 5 1 6 4 4 8 6 6
44 5 1 6 6 4 8 8 6
45 5 1 6 8 4 8 10 6
46 5 1 6 0 6 8 2 8
47 5 1 6 2 6 8 4 8
48 5 1 6 4 6 8 6 8
49 5 1 6 6 6 8 8 8
50 5 1 6 8 6 8 10 8
51 4 1 6 0 8 10 2 10
52 4 1 6 2 8 8 6 10
53 4 1 6 6 8 8 10 10
54 3 1 8 2 0 11 4 4
55 3 1 8 4 0 11 6 4
56 3 1 8 6 0 11 8 4
57 3 1 8 8 0 11 10 4
58 3 1 8 2 4 11 4 8
59 4 1 8 2 8 10 6 10
60 5 1 8 6 4 10 8 6
61 5 1 8 8 4 10 10 6
62 5 1 8 6 6 10 8 8
63 6 2 11 0 0 14 2 4
64 6 2 11 2 0 14 4 4
65 6 2 11 4 0 14 6 4
66 8 2 11 0 4 13 2 6
67 8 2 11 2 4 13 4 6
68 8 2 11 4 4 13 6 6
69 8 2 11 0 6 13 2 8
70 8 2 11 2 6 13 4 8
71 8 2 11 4 6 13 6 8
72 8 2 11 6 0 13 8 2
73 8 2 11 8 0 13 10 2
74 7 2 11 0 8 13 4 10
75 8 2 11 6 2 13 8 4
76 8 2 11 6 4 13 8 6
77 8 2 11 6 6 13 8 8
78 8 2 11 6 8 13 8 10
79 8 2 11 8 2 13 10 4
80 8 2 11 8 4 13 10 6
81 8 2 11 8 6 13 10 8
82 8 2 11 8 8 13 10 10
83 8 2 11 4 8 13 6 10
84 8 2 13 6 0 15 8 2
85 8 2 13 0 4 15 2 6
86 8 2 13 2 4 15 4 6
87 8 2 13 0 6 15 2 8
88 8 2 13 2 6 15 4 8
