Utilizacion 83.333333 VolCajasEmpacado 100.000000 Duracion[s] 0.018000 Iteraciones 1
0 0 0 0 0 0 2 1 1
1 0 0 0 1 0 2 2 1
2 0 0 0 2 0 2 3 1
3 0 0 0 3 0 2 4 1
4 0 0 0 4 0 2 5 1
5 0 0 0 5 0 2 6 1
6 0 0 0 6 0 2 7 1
7 0 0 0 7 0 2 8 1
8 0 0 0 8 0 2 9 1
9 0 0 0 9 0 2 10 1
10 0 0 0 0 1 2 1 2
11 0 0 0 0 2 2 1 3
12 0 0 0 0 3 2 1 4
13 0 0 0 0 4 2 1 5
14 0 0 0 0 5 2 1 6
15 0 0 0 0 6 2 1 7
16 0 0 0 0 7 2 1 8
17 0 0 0 0 8 2 1 9
18 0 0 0 0 9 2 1 10
19 0 0 0 1 1 1 3 2
20 0 0 1 1 1 2 3 2
21 0 0 0 1 2 1 3 3
22 0 0 0 1 3 1 3 4
23 0 0 0 1 4 1 3 5
24 0 0 0 1 5 1 3 6
25 0 0 0 1 6 1 3 7
26 0 0 0 1 7 1 3 8
27 0 0 0 1 8 1 3 9
28 0 0 0 1 9 1 3 10
29 0 0 0 3 1 1 4 3
30 0 0 0 4 1 1 5 3
31 0 0 0 5 1 1 6 3
32 0 0 0 6 1 1 7 3
33 0 0 0 7 1 1 8 3
34 0 0 0 8 1 1 9 3
35 0 0 0 9 1 1 10 3
36 0 0 0 3 3 1 4 5
37 0 0 0 4 3 1 5 5
38 0 0 0 5 3 1 6 5
39 0 0 0 6 3 1 7 5
40 0 0 0 7 3 1 8 5
41 0 0 0 8 3 1 9 5
42 0 0 0 9 3 1 10 5
43 0 0 0 3 5 1 4 7
44 0 0 0 4 5 1 5 7
45 0 0 0 5 5 1 6 7
46 0 0 0 6 5 1 7 7
47 0 0 0 7 5 1 8 7
48 0 0 0 8 5 1 9 7
49 0 0 0 9 5 1 10 7
50 0 0 0 3 7 1 4 9
51 0 0 0 4 7 1 5 9
52 0 0 0 5 7 1 6 9
53 0 0 0 6 7 1 7 9
54 0 0 0 7 7 1 8 9
55 0 0 0 8 7 1 9 9
56 0 0 0 9 7 1 10 9
57 0 0 0 3 9 1 5 10
58 0 0 0 5 9 1 7 10
59 0 0 0 7 9 1 9 10
60 0 0 0 9 9 2 10 10
61 0 0 1 3 1 3 4 2
62 0 0 1 1 2 2 2 4
63 0 0 1 1 4 2 2 6
64 0 0 1 1 6 2 2 8
65 0 0 1 1 8 2 2 10
66 0 0 1 4 1 2 6 2
67 0 0 1 6 1 2 8 2
68 0 0 1 4 2 2 6 3
69 0 0 1 6 2 2 8 3
70 0 0 1 4 3 2 6 4
