Utilizacion 72.474850 VolCajasEmpacado 74.226082 Duracion[s] 60.011000 Iteraciones 2727
0 5 0 0 0 0 54 84 59
1 3 0 0 84 0 37 156 65
2 3 0 37 84 0 74 156 65
3 3 0 0 156 0 37 228 65
4 3 0 37 156 0 74 228 65
5 0 0 0 0 59 60 71 84
6 0 0 0 0 84 60 71 109
7 0 0 0 0 109 60 71 134
8 1 0 0 71 65 69 162 91
9 6 0 0 0 134 106 59 214
10 4 0 0 162 65 105 205 132
11 6 0 0 71 91 106 151 150
12 4 0 0 59 150 43 164 217
13 8 0 43 59 150 99 177 172
14 8 0 43 59 172 99 177 194
15 8 0 43 59 194 99 177 216
16 3 0 0 164 132 37 229 204
17 2 0 37 177 132 106 208 160
18 7 0 106 0 0 167 74 63
19 13 1 37 177 160 106 208 188
20 9 1 106 0 63 180 61 126
21 9 1 106 0 126 180 61 189
22 14 1 106 0 189 197 69 215
23 12 1 106 74 0 211 117 67
24 12 1 106 117 0 211 160 67
25 12 1 106 160 0 211 203 67
26 10 1 106 69 67 212 149 126
27 10 1 106 69 126 212 149 185
28 15 1 99 69 185 159 140 210
29 15 1 159 69 185 219 140 210
30 10 1 106 149 67 212 229 126
31 11 1 106 149 126 160 233 185
32 16 1 160 149 126 225 221 163
33 9 1 197 0 0 258 63 74
34 22 2 37 177 188 155 233 210
35 21 2 155 140 185 226 200 210
36 18 2 197 0 74 302 67 117
37 18 2 197 0 117 302 67 160
38 20 2 197 0 160 288 69 186
39 20 2 197 0 186 288 69 212
40 20 2 219 69 0 310 138 26
41 17 2 219 69 26 299 128 132
42 19 2 219 69 132 328 111 208
43 19 2 226 138 0 335 214 42
44 26 3 226 128 42 280 187 126
45 26 3 280 128 42 334 187 126
46 25 3 226 187 42 335 229 118
47 27 3 226 128 126 332 187 206
48 26 3 302 0 0 356 59 84
49 24 3 302 0 84 373 60 109
50 24 3 302 0 109 373 60 134
51 27 3 302 0 134 408 59 214
52 23 3 328 60 0 446 116 22
53 23 3 328 60 22 446 116 44
54 23 3 328 60 44 446 116 66
55 32 4 160 200 163 229 231 191
56 35 4 229 187 118 294 224 190
57 35 4 294 187 118 359 224 190
58 30 4 328 60 66 433 103 133
59 28 4 328 60 133 389 123 207
60 28 4 389 60 133 450 123 207
61 34 4 335 123 0 406 183 25
62 34 4 335 123 25 406 183 50
63 29 4 334 123 50 440 182 130
64 29 4 334 123 130 440 182 210
65 31 4 359 183 0 468 225 76
66 33 4 450 0 0 519 91 26
67 33 4 450 91 0 519 182 26
68 33 4 450 0 26 541 69 52
69 28 4 450 69 26 511 143 89
70 39 5 155 200 191 224 231 219
71 39 5 229 187 190 298 218 218
72 38 5 440 123 89 512 160 154
73 38 5 440 123 154 512 160 219
74 36 5 359 182 76 464 225 143
75 36 5 359 182 143 464 225 210
76 42 5 408 0 52 526 56 74
77 37 5 408 0 74 467 54 158
78 41 5 408 0 158 479 60 183
79 41 5 408 0 183 479 60 208
80 37 5 450 60 89 504 119 173
81 36 5 468 182 0 573 225 67
82 37 5 479 0 74 563 59 128
83 36 5 468 160 67 573 227 110
84 40 5 464 160 110 555 229 136
85 37 5 464 160 136 518 219 220
86 40 5 504 0 128 573 91 154
87 47 6 479 0 154 563 59 208
88 44 6 504 59 154 576 96 219
89 47 6 519 96 0 578 150 84
90 47 6 519 96 84 578 150 168
91 46 6 518 96 168 585 201 211
