Utilizacion 75.818502 VolCajasEmpacado 76.732445 Duracion[s] 60.027000 Iteraciones 1826
0 2 0 0 0 0 56 82 108
1 2 0 0 0 108 56 82 216
2 0 0 0 82 0 91 131 27
3 0 0 0 131 0 91 180 27
4 0 0 0 180 0 91 229 27
5 4 0 0 82 27 47 131 105
6 8 0 0 131 27 36 229 71
7 2 0 0 82 105 82 138 213
8 1 0 0 138 71 41 183 95
9 1 0 0 183 71 41 228 95
10 1 0 0 138 95 24 183 136
11 1 0 0 183 95 24 228 136
12 9 0 0 138 136 46 181 181
13 3 0 41 181 27 112 231 100
14 8 0 24 181 100 122 217 144
15 5 0 0 181 144 62 227 218
16 6 0 56 0 0 173 64 42
17 7 0 56 0 42 159 48 80
18 23 1 0 138 181 45 179 205
19 23 1 46 138 27 70 179 72
20 10 1 46 138 72 92 181 117
21 10 1 46 138 117 92 181 162
22 21 1 46 138 162 121 174 190
23 21 1 46 138 190 121 174 218
24 12 1 62 181 144 135 231 215
25 15 1 56 0 80 103 48 141
26 15 1 56 0 141 103 48 202
27 22 1 56 48 42 147 75 91
28 22 1 56 48 91 147 75 140
29 22 1 56 48 140 147 75 189
30 18 1 103 0 80 206 48 118
31 14 1 103 0 118 152 47 196
32 14 1 152 0 118 201 47 196
33 11 1 91 75 0 173 131 108
34 11 1 91 75 108 173 131 216
35 13 1 121 131 0 229 178 76
36 13 1 121 131 76 229 178 152
37 17 1 121 131 152 238 173 216
38 16 1 135 178 0 231 222 56
39 19 1 135 178 56 233 214 100
40 19 1 135 178 100 233 214 144
41 17 1 135 178 144 252 220 208
42 17 1 173 48 0 290 112 42
43 17 1 173 48 42 290 112 84
44 20 1 206 0 84 295 100 115
45 20 1 206 0 115 295 100 146
46 34 2 173 47 146 290 89 210
47 28 2 201 0 146 244 45 192
48 28 2 244 0 146 287 45 192
49 32 2 201 0 192 276 36 220
50 26 2 238 112 0 284 174 74
51 26 2 238 112 74 284 174 148
52 26 2 238 89 148 312 135 210
53 33 2 238 135 148 329 162 197
54 27 2 252 174 0 348 230 44
55 27 2 252 174 44 348 230 88
56 34 2 252 174 88 369 216 152
57 34 2 252 174 152 369 216 216
58 31 2 295 0 0 395 89 31
59 31 2 295 0 31 395 89 62
60 31 2 295 0 62 395 89 93
61 30 2 295 0 93 393 44 129
62 30 2 295 44 93 393 88 129
63 33 2 295 0 129 386 27 178
64 33 2 295 27 129 386 54 178
65 33 2 295 54 129 386 81 178
66 34 2 290 0 178 407 64 220
67 29 2 312 89 0 415 127 48
68 29 2 312 89 48 415 127 96
69 29 2 312 89 96 415 127 144
70 29 2 312 89 144 415 127 192
71 25 2 329 127 0 437 174 76
72 29 2 329 127 76 432 165 124
73 29 2 329 127 124 432 165 172
74 24 2 369 174 0 477 230 82
75 24 2 369 174 82 477 230 164
76 24 2 407 0 0 489 56 108
77 24 2 407 0 108 489 56 216
78 24 2 415 56 0 497 112 108
79 47 3 290 64 178 335 88 219
80 47 3 312 88 192 357 129 216
81 47 3 357 88 192 402 129 216
82 48 3 329 129 172 375 174 215
83 47 3 335 64 178 380 88 219
84 39 3 375 129 172 453 178 219
85 46 3 369 178 164 460 227 191
86 45 3 369 178 191 444 214 219
87 45 3 407 56 108 482 84 144
88 37 3 415 56 144 486 106 217
89 40 3 453 112 0 515 158 74
90 40 3 515 112 0 577 158 74
91 40 3 453 112 74 515 158 148
92 40 3 515 112 74 577 158 148
93 35 3 453 106 148 500 167 196
94 35 3 500 106 148 547 167 196
95 36 3 477 167 0 585 223 82
96 36 3 477 167 82 585 223 164
97 41 3 489 0 0 585 56 44
98 41 3 489 0 44 585 56 88
99 41 3 489 0 88 585 56 132
100 41 3 489 0 132 585 56 176
101 43 3 489 0 176 587 44 212
102 37 3 497 56 0 570 106 71
103 37 3 497 56 71 570 106 142
104 39 3 486 56 142 535 103 220
105 35 3 535 56 142 583 103 203
