Utilizacion 76.628196 VolCajasEmpacado 34.754782 Duracion[s] 60.312000 Iteraciones 296
0 21 0 0 0 0 140 112 71
1 21 0 0 112 0 140 224 71
2 21 0 0 0 71 140 112 142
3 21 0 0 112 71 140 224 142
4 21 0 0 0 142 140 112 213
5 21 0 0 112 142 140 224 213
6 31 0 0 0 213 51 43 223
7 31 0 51 0 213 102 43 223
8 31 0 102 0 213 153 43 223
9 31 0 0 43 213 51 86 223
10 31 0 51 43 213 102 86 223
11 31 0 102 43 213 153 86 223
12 31 0 0 0 223 51 43 233
13 31 0 51 0 223 102 43 233
14 31 0 102 0 223 153 43 233
15 31 0 0 43 223 51 86 233
16 31 0 51 43 223 102 86 233
17 31 0 102 43 223 153 86 233
18 31 0 0 0 233 51 43 243
19 31 0 51 0 233 102 43 243
20 31 0 102 0 233 153 43 243
21 31 0 0 43 233 51 86 243
22 31 0 51 43 233 102 86 243
23 31 0 102 43 233 153 86 243
24 34 0 0 0 243 31 14 244
25 34 0 31 0 243 62 14 244
26 34 0 0 14 243 31 28 244
27 34 0 31 14 243 62 28 244
28 34 0 0 28 243 31 42 244
29 34 0 31 28 243 62 42 244
30 34 0 0 42 243 31 56 244
31 34 0 31 42 243 62 56 244
32 34 0 0 56 243 31 70 244
33 34 0 31 56 243 62 70 244
34 34 0 0 70 243 31 84 244
35 34 0 31 70 243 62 84 244
36 34 0 0 0 244 31 14 245
37 34 0 31 0 244 62 14 245
38 34 0 0 14 244 31 28 245
39 34 0 31 14 244 62 28 245
40 34 0 0 28 244 31 42 245
41 34 0 31 28 244 62 42 245
42 34 0 0 42 244 31 56 245
43 34 0 31 42 244 62 56 245
44 34 0 0 56 244 31 70 245
45 34 0 31 56 244 62 70 245
46 34 0 0 70 244 31 84 245
47 34 0 31 70 244 62 84 245
48 50 0 62 0 243 156 50 245
49 50 0 62 50 243 156 100 245
50 31 0 0 86 213 51 129 223
51 31 0 0 86 223 51 129 233
52 31 0 0 86 233 51 129 243
