Utilizacion 80.655459 VolCajasEmpacado 19.875092 Duracion[s] 28.424000 Iteraciones 137
0 17 0 0 0 0 155 168 195
1 17 0 155 0 0 310 168 195
2 17 0 310 0 0 465 168 195
3 17 0 465 0 0 620 168 195
4 11 0 0 0 195 41 43 231
5 11 0 41 0 195 82 43 231
6 11 0 82 0 195 123 43 231
7 11 0 123 0 195 164 43 231
8 11 0 164 0 195 205 43 231
9 11 0 205 0 195 246 43 231
10 11 0 246 0 195 287 43 231
11 11 0 287 0 195 328 43 231
12 11 0 328 0 195 369 43 231
13 11 0 369 0 195 410 43 231
14 11 0 410 0 195 451 43 231
15 11 0 451 0 195 492 43 231
16 11 0 492 0 195 533 43 231
17 11 0 533 0 195 574 43 231
18 11 0 574 0 195 615 43 231
19 11 0 0 43 195 41 86 231
20 11 0 41 43 195 82 86 231
21 11 0 82 43 195 123 86 231
22 11 0 123 43 195 164 86 231
23 11 0 164 43 195 205 86 231
24 11 0 205 43 195 246 86 231
25 11 0 246 43 195 287 86 231
26 11 0 287 43 195 328 86 231
27 11 0 328 43 195 369 86 231
28 11 0 369 43 195 410 86 231
29 11 0 410 43 195 451 86 231
30 11 0 451 43 195 492 86 231
31 11 0 492 43 195 533 86 231
32 11 0 533 43 195 574 86 231
33 11 0 574 43 195 615 86 231
34 14 0 0 0 231 50 22 233
35 9 0 0 168 0 77 235 74
36 9 0 77 168 0 154 235 74
37 9 0 154 168 0 231 235 74
38 9 0 231 168 0 308 235 74
39 9 0 308 168 0 385 235 74
40 9 0 385 168 0 462 235 74
41 9 0 462 168 0 539 235 74
42 9 0 539 168 0 616 235 74
43 9 0 616 168 0 693 235 74
44 9 0 693 168 0 770 235 74
45 9 0 770 168 0 847 235 74
46 9 0 847 168 0 924 235 74
47 18 0 0 0 233 12 37 235
48 11 0 0 86 195 43 127 231
49 11 0 0 127 195 43 168 231
50 7 0 0 168 74 45 209 120
51 7 0 0 168 120 45 209 166
52 7 0 0 168 166 45 209 212
53 11 0 43 86 195 84 129 231
54 10 0 45 129 195 87 175 233
55 1 0 45 175 74 94 230 132
56 2 0 45 175 132 99 235 193
57 11 0 84 86 195 125 129 231
58 11 0 125 86 195 166 129 231
59 11 0 166 86 195 207 129 231
60 12 0 87 129 195 158 200 215
61 2 0 158 168 74 212 229 134
62 2 0 158 168 134 212 229 194
63 7 0 158 168 194 204 213 235
64 0 0 207 86 195 287 166 230
65 5 0 212 168 74 314 234 202
66 3 0 314 168 74 434 228 155
67 2 0 314 168 155 374 229 209
68 7 0 374 168 155 419 209 201
69 7 0 434 168 74 475 214 119
70 2 0 434 168 119 488 228 180
71 2 0 419 168 180 480 228 234
72 2 0 488 168 74 542 228 135
73 7 0 488 168 135 529 213 181
74 7 0 488 168 181 529 213 227
75 2 0 542 168 74 596 229 134
76 2 0 542 168 134 602 229 188
77 7 0 529 168 188 570 214 233
78 7 0 570 168 188 611 214 233
79 7 0 611 168 74 652 214 119
80 7 0 611 168 119 652 214 164
81 7 0 611 168 164 652 214 209
82 16 0 620 0 0 729 114 140
83 2 0 620 114 0 680 168 61
84 13 0 652 0 140 731 77 209
85 7 0 620 77 140 666 122 181
86 7 0 666 77 140 712 122 181
87 7 0 620 77 181 666 122 222
88 7 0 666 77 181 712 122 222
89 7 0 620 122 61 665 168 102
90 7 0 620 122 102 665 168 143
91 7 0 620 122 143 661 167 189
92 7 0 620 122 189 661 167 235
93 7 0 652 168 74 697 209 120
94 7 0 697 168 74 742 209 120
95 7 0 742 168 74 787 209 120
96 7 0 787 168 74 832 209 120
97 7 0 832 168 74 877 209 120
98 7 0 877 168 74 922 209 120
99 7 0 652 168 120 697 209 166
100 7 0 697 168 120 742 209 166
101 7 0 742 168 120 787 209 166
102 7 0 787 168 120 832 209 166
103 7 0 832 168 120 877 209 166
104 7 0 877 168 120 922 209 166
105 7 0 652 168 166 697 209 212
106 7 0 697 168 166 742 209 212
107 7 0 742 168 166 787 209 212
108 7 0 787 168 166 832 209 212
109 7 0 832 168 166 877 209 212
110 7 0 877 168 166 922 209 212
111 7 0 680 122 0 721 168 45
112 7 0 721 122 0 762 168 45
113 7 0 762 122 0 803 168 45
114 7 0 803 122 0 844 168 45
115 7 0 844 122 0 885 168 45
116 7 0 885 122 0 926 168 45
117 7 0 926 122 0 967 168 45
118 7 0 967 122 0 1008 168 45
119 7 0 1008 122 0 1049 168 45
120 2 0 712 114 45 772 168 106
121 2 0 712 114 106 772 168 167
122 2 0 712 114 167 772 168 228
123 16 0 731 0 0 840 114 140
124 15 0 772 0 140 878 101 232
125 6 0 772 114 45 821 162 88
126 4 0 840 101 45 908 165 102
127 8 0 840 101 102 917 168 171
128 15 0 878 0 0 984 101 92
129 15 0 878 0 92 984 101 184
130 15 0 924 101 45 1030 202 137
131 15 0 924 101 137 1030 202 229
132 15 0 984 0 0 1090 101 92
133 15 0 984 0 92 1090 101 184
134 16 0 1049 101 0 1163 210 140
135 15 0 1030 101 140 1136 202 232
136 31 1 12 0 233 45 12 235
137 36 1 12 12 233 52 28 235
138 38 1 611 209 209 667 211 231
139 32 1 602 214 74 622 226 75
140 33 1 602 214 75 627 215 88
141 34 1 602 215 75 633 229 76
142 35 1 611 202 231 655 217 233
143 44 1 878 0 184 933 54 233
144 37 1 655 211 74 719 230 76
145 30 1 878 54 184 915 94 217
146 39 1 878 54 217 949 80 220
147 42 1 933 0 184 981 42 227
148 44 1 949 42 184 1004 96 233
149 44 1 1004 42 184 1059 96 233
150 44 1 1059 42 184 1114 96 233
151 30 1 981 0 184 1018 40 217
152 30 1 1018 0 184 1055 40 217
153 30 1 1055 0 184 1092 40 217
154 40 1 1092 0 0 1126 37 30
155 40 1 1092 0 30 1126 37 60
156 40 1 1092 0 60 1126 37 90
157 40 1 1092 0 90 1126 37 120
158 40 1 1092 0 120 1126 37 150
159 40 1 1092 0 150 1126 37 180
160 40 1 1092 0 180 1126 37 210
161 28 1 1114 37 0 1177 100 54
162 20 1 1114 37 54 1174 91 115
163 20 1 1114 37 115 1174 91 176
164 44 1 1114 37 176 1168 92 225
165 40 1 1126 0 0 1163 34 30
166 40 1 1136 92 140 1170 129 170
167 40 1 1136 129 140 1170 166 170
168 40 1 1136 166 140 1170 203 170
169 40 1 1136 92 170 1170 129 200
170 40 1 1136 129 170 1170 166 200
171 40 1 1136 166 170 1170 203 200
172 40 1 1136 92 200 1170 129 230
173 40 1 1136 129 200 1170 166 230
174 40 1 1136 166 200 1170 203 230
175 30 1 1126 0 30 1166 37 63
176 40 1 1126 0 63 1163 34 93
177 40 1 1126 0 93 1163 34 123
178 40 1 1126 0 123 1163 34 153
179 40 1 1126 0 153 1163 34 183
180 40 1 1126 0 183 1163 34 213
