Utilizacion 76.507407 VolCajasEmpacado 50.129615 Duracion[s] 60.082000 Iteraciones 753
0 9 0 0 0 0 168 195 155
1 9 0 168 0 0 336 195 155
2 9 0 336 0 0 504 195 155
3 9 0 504 0 0 672 195 155
4 9 0 672 0 0 840 195 155
5 5 0 0 0 155 33 40 192
6 5 0 0 40 155 33 80 192
7 5 0 0 80 155 33 120 192
8 5 0 0 120 155 33 160 192
9 8 0 0 0 192 44 49 242
10 0 0 0 160 155 77 227 229
11 0 0 77 160 155 154 227 229
12 0 0 154 160 155 231 227 229
13 0 0 231 160 155 308 227 229
14 0 0 308 160 155 385 227 229
15 0 0 385 160 155 462 227 229
16 0 0 462 160 155 539 227 229
17 0 0 539 160 155 616 227 229
18 7 0 33 49 155 87 110 215
19 4 0 87 0 155 182 92 237
20 7 0 87 92 155 148 146 215
21 7 0 148 92 155 202 153 215
22 6 0 182 0 155 259 74 222
23 6 0 202 74 155 276 151 222
24 7 0 259 0 155 313 61 215
25 7 0 276 61 155 330 122 215
26 4 0 330 0 155 422 95 237
27 4 0 422 0 155 514 95 237
28 4 0 514 0 155 609 92 237
29 4 0 609 0 155 704 92 237
30 4 0 616 92 155 711 184 237
31 4 0 704 0 155 799 92 237
32 1 0 840 0 0 940 116 129
33 1 0 940 0 0 1040 116 129
34 1 0 1040 0 0 1140 116 129
35 1 0 1140 0 0 1240 116 129
36 1 0 1240 0 0 1340 116 129
37 1 0 840 116 0 940 232 129
38 1 0 940 116 0 1040 232 129
39 1 0 1040 116 0 1140 232 129
40 1 0 1140 116 0 1240 232 129
41 1 0 1240 116 0 1340 232 129
42 1 0 840 0 129 940 129 245
43 1 0 840 129 129 969 229 245
44 1 0 969 129 129 1098 229 245
45 1 0 1098 129 129 1227 229 245
46 1 0 940 0 129 1069 100 245
47 2 0 1069 0 129 1169 118 237
48 1 0 1169 0 129 1298 116 229
